chamber,rock_SA_m2,total_DW_g,total_AFDW_g,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients
16,0.016346817,1.2925824,0.793251683,35.08925309617276,6.657652402209532,41.74690549838229,12.5C,12.5,52.627566247952466,44.23470362327962,8.392862624672846,2553.8247292046085,2146.5495757475455,407.27515345706337,ambient,0
1,0.01128029,0.5597238,0.212292099,29.241040114434583,9.548773491226443,38.789813605661024,15.5C,15.5,182.71906391420163,137.7396532992713,44.97941061493034,3438.7248559798572,2592.224146226257,846.5007097536006,enriched,1
2,0.011245173,0.6470415,0.011624122,28.321328463683987,10.205433303642447,38.526761767326434,15.5C,15.5,3314.380369315328,2436.4273244623537,877.9530448529745,3426.0710588735656,2518.532037140201,907.5390217333647,enriched,1
3,0.018090417,1.9001655,0.714165281,35.48245415476832,6.604199349109132,42.08665350387745,9.5C,9.5,58.93125110331071,49.68381283543287,9.247438267877842,2326.4612144583207,1961.395038863301,365.06617559501984,enriched,1
4,0.014537485,1.0441593,0.656097808,35.54341940550021,11.563631180169839,47.10705058567005,15.5C,15.5,71.7988233023788,54.17396457069128,17.624858731687517,3240.385155043672,2444.94968734277,795.4354677009014,enriched,1
5,0.011185008,0.632958,0.301716306,22.085575715103914,6.06705304845905,28.152628763562966,12.5C,12.5,93.30827735761476,73.19980815058737,20.10846920702738,2516.9967481080894,1974.5695054580126,542.4272426500768,enriched,1
6,0.016220823,1.4850651,0.645456968,50.7675530959788,14.147262904166306,64.91481600014511,18.5C,18.5,100.57187267075118,78.65366029479257,21.91821237595859,4001.9434279102306,3129.7766516519414,872.1667762582889,enriched,1
7,0.011743485,0.6982095,0.362604429,29.724858648522023,7.39977432893492,37.12463297745694,9.5C,9.5,102.38328605042202,81.9759944204157,20.407291630006316,3161.296069902328,2531.178661915268,630.1174079870601,enriched,1
8,0.012242066,0.8310618,0.576903109,28.369500634333978,9.189760488653086,37.55926112298707,18.5C,18.5,65.10497263239236,49.17550311612895,15.929469516263408,3068.049226575569,2317.3785073805334,750.6707191950351,enriched,1
9,0.015658137,1.7011146,0.930388062,51.39887542866125,13.26824930729766,64.66712473595891,18.5C,18.5,69.50554008286373,55.24455603844716,14.260984044416576,4129.937344139913,3282.56646551638,847.3708786235336,enriched,1
10,0.012840422,0.9865461,0.305527025,40.90735685489263,8.660940621025935,49.56829747591857,12.5C,12.5,162.2386676789674,133.89112421361952,28.3475434653479,3860.3324311240367,3185.8265137152525,674.5059174087841,enriched,1
11,0.015127527,1.5178446,0.67855543,50.67459987569485,15.867176937474612,66.54177681316946,18.5C,18.5,98.06387786649864,74.680118432911,23.383759433587635,4398.721404573891,3349.8270983548637,1048.8943062190278,enriched,1
12,0.015123725,1.5408456,0.538381121,47.51206278943994,9.639062918589934,57.15112570802987,12.5C,12.5,106.15365858646048,88.24986786533314,17.903790721127336,3778.9053760254087,3141.558233136343,637.3471428890656,enriched,1
13,0.012319978,0.745749,0.392,35.73217782119087,7.787909731116402,43.52008755230727,12.5C,12.5,111.02063151098793,91.1535148499767,19.867116661011227,3532.4809469876704,2900.3442880491234,632.1366589385469,enriched,1
14,0.018210413,1.3221762,0.313910419,53.63248401451767,15.038270627709904,68.67075464222758,15.5C,15.5,218.7590805714148,170.85283178994345,47.90624878147133,3770.9608586157588,2945.154731774489,825.8061268412695,enriched,1
15,0.013958869,0.5124426,0.10073847,25.137459809702055,5.359075870561383,30.496535680263438,9.5C,9.5,302.7297881361851,249.53188002261754,53.197908113567564,2184.742594852308,1800.8235344641498,383.91906038815773,enriched,1
16,0.016346817,1.2925824,0.793251683,29.946697997932883,6.284908118795389,36.23160611672827,9.5C,9.5,45.67479262029914,37.75182409279916,7.922968527499977,2216.4318666275076,1831.9589677876056,384.472898839902,enriched,1
